unitid,instnm,school_system_code,school_system_name,settlement_description,settlement_date,settlement_link
451699,BROWN MACKIE COLLEGE-INDIANAPOLIS,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
154767,BROWN MACKIE COLLEGE-KANSAS CITY,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
157599,BROWN MACKIE COLLEGE-LOUISVILLE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
151616,BROWN MACKIE COLLEGE-MERRILLVILLE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
447290,BROWN MACKIE COLLEGE-MIAMI,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
151625,BROWN MACKIE COLLEGE-MICHIGAN CITY,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
204316,BROWN MACKIE COLLEGE-NORTH CANTON,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
157696,BROWN MACKIE COLLEGE-NORTHERN KENTUCKY,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
475042,BROWN MACKIE COLLEGE-OKLAHOMA CITY,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
456612,BROWN MACKIE COLLEGE-PHOENIX,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
