facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
25133105,AMERICAN INSTITUTE OF MASSAGE THERAPY,75,0,5,5
25017330,AMERICAN INSTITUTE OF MEDICAL SCIENCES & EDUCATION,75,0,5,5
25027623,AMERICAN INSTITUTE OF NONDESTRUCTIVE TESTING,45,0,3,3
25022149,AMERICAN INSTITUTE OF TAXIDERMY,30,0,2,2
25001530,AMERICAN INSTITUTE-CLIFTON,45,0,3,3
25001630,AMERICAN INSTITUTE-TOMS RIVER,75,0,5,5
21801111,AMERICAN INTERCONTINENTAL UNIVERSITY-ATLANTA,4995,0,333,333
21044243,AMERICAN INTERCONTINENTAL UNIVERSITY-HOUSTON,1050,0,70,70
21805413,AMERICAN INTERCONTINENTAL UNIVERSITY-ONLINE,24330,0,1622,1622
31000121,AMERICAN INTERNATIONAL COLLEGE,615,0,41,41
31507005,AMERICAN JEWISH UNIVERSITY,45,0,3,3
25062546,AMERICAN K9 INTERDICTION LLC,1215,0,81,81
20005435,AMERICAN LINE BUILDERS APPRENTICESHIP TRAINING,15,0,1,1
25000628,AMERICAN LOCKSMITH INSTITUTE OF NEVADA,45,0,3,3
25480847,AMERICAN MARINE TRAINING CENTERS LLC,30,0,2,2
249C4410,AMERICAN MEDICAL ACADEMY,480,0,32,32
35356632,AMERICAN MUSICAL AND DRAMATIC ACADEMY,450,0,30,30
21910146,AMERICAN NATIONAL UNIVERSITY,1395,0,93,93
21954746,AMERICAN NATIONAL UNIVERSITY-CHARLOTTESVILLE,15,0,1,1
24521017,AMERICAN NATIONAL UNIVERSITY-DANVILLE,30,0,2,2
24802117,AMERICAN NATIONAL UNIVERSITY-FLORENCE,30,0,2,2
21521117,AMERICAN NATIONAL UNIVERSITY-LEXINGTON CAMPUS,15,0,1,1
21521217,AMERICAN NATIONAL UNIVERSITY-LOUISVILLE CAMPUS,120,0,8,8
24520817,AMERICAN NATIONAL UNIVERSITY-PIKEVILLE,30,0,2,2
24806735,AMERICAN NATIONAL UNIVERSITY-YOUNGSTOWN,30,0,2,2
25834207,AMERICAN PROFESSIONAL EDUCATIONAL SERVICES,75,0,5,5
21913148,AMERICAN PUBLIC UNIVERSITY SYSTEM,264525,0,17635,17635
14994405,AMERICAN RIVER COLLEGE,12480,1,831,832
