va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
31810410,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-MIAMI SPRINGS,4-year,0.832,0.683,0.903,0.857,,
34800118,REMINGTON COLLEGE-LAFAYETTE,2-year,,0.75,,0.75,0.0,1.0
31825110,COLUMBIA COLLEGE-PATRICK AFB,4-year,0.713,0.655,0.787,0.858,,
31852635,INDIANA WESLEYAN UNIVERSITY-WEST CHESTER EDU CENTER,4-year,,,,,,
31903139,BRYANT UNIVERSITY,4-year,,,,,,
31802042,BETHEL UNIVERSITY-MCKENZIE,4-year,1.0,1.0,1.0,1.0,,
31903132,MOLLOY COLLEGE,4-year,0.75,,1.0,,,
14902414,IVY TECH COMMUNITY COLLEGE-GARY,2-year,0.0,0.728,1.0,0.879,0.083,0.484
14902431,NEW MEXICO MILITARY INSTITUTE,2-year,,,,,,
14805106,TRINIDAD STATE JUNIOR COLLEGE,2-year,,1.0,,1.0,0.0,0.462
11842335,KENT STATE UNIVERSITY AT ASHTABULA,4-year,,,,,,
14923404,OZARKA COLLEGE,2-year,,0.5,,0.667,0.0,0.333
14953423,PINE TECHNICAL AND COMMUNITY COLLEGE,2-year,,1.0,,1.0,0.667,0.333
11008146,EASTERN VIRGINIA MEDICAL SCHOOL,4-year,,,,,,
14901166,NORTHERN MARIANAS COLLEGE,2-year,,1.0,,1.0,0.0,0.333
11802205,CALIFORNIA STATE UNIVERSITY-SACRAMENTO,4-year,0.84,1.0,0.96,1.0,,
13301032,SUNY COLLEGE AT GENESEO,4-year,1.0,,1.0,,,
11002148,GLENVILLE STATE COLLEGE,4-year,1.0,,1.0,,,
24008340,ITT TECHNICAL INSTITUTE-MYRTLE BEACH,2-year,1.0,1.0,1.0,1.0,0.0,0.0
21034343,ARGOSY UNIVERSITY-DALLAS,4-year,,,,,,
21014606,DENVER SCHOOL OF NURSING,4-year,,,,,,
21965410,DEVRY UNIVERSITY-FT LAUDERDALE,4-year,0.839,0.5,0.968,0.5,,
21900330,DEVRY UNIVERSITY-CHERRY HILL CAMPUS,4-year,0.562,1.0,0.875,1.0,,
21014123,ITT TECHNICAL INSTITUTE-EDEN PRAIRIE,4-year,,0.875,,0.875,,
21061310,STRAYER UNIVERSITY-MAITLAND,4-year,0.969,1.0,0.969,1.0,,
15141910,FLORIDA PANHANDLE TECHNICAL COLLEGE,NCD,,0.875,,0.875,,
25030106,INTERNATIONAL SALON AND SPA ACADEMY,NCD,,1.0,,1.0,,
25008628,CRESCENT CITY BARTENDING SCHOOL,NCD,,0.923,,0.923,1.0,
249F0410,ORLANDO MEDICAL INSTITUTE,2-year,,0.667,,1.0,,
25012428,SOUTHWEST TRUCK DRIVER TRAINING,NCD,,0.095,,0.476,,
24906619,KAPLAN UNIVERSITY-AUGUSTA,2-year,1.0,1.0,1.0,1.0,0.222,0.778
249J9143,CULINARY INSTITUTE INC,2-year,,1.0,,1.0,0.667,0.333
24904230,ITT TECHNICAL INSTITUTE-MARLTON,2-year,,0.75,,1.0,,
25011342,QUEEN CITY COLLEGE,NCD,,1.0,,1.0,,
24901412,CARRINGTON COLLEGE-BOISE,2-year,,1.0,,1.0,0.5,0.0
